Column1, Column2
-5.000000000000000000e+00,-2.793182848315010625e-01
-4.000000000000000000e+00,-1.906252800695003580e-01
-3.000000000000000000e+00,-1.138498915907764503e-01
-2.000000000000000000e+00,-4.525598020191021198e-02
-1.000000000000000000e+00,3.834218676796620484e-02
0.000000000000000000e+00,1.339314126574620012e-01
1.000000000000000000e+00,2.676209552706744210e-01
2.000000000000000000e+00,3.490532195843980001e-01
3.000000000000000000e+00,4.362330290588180559e-01
3.500000000000000000e+00,4.820735960092666361e-01
4.000000000000000000e+00,5.199370418093712809e-01
4.500000000000000000e+00,5.692130604932367222e-01
5.000000000000000000e+00,6.066528719380884782e-01
5.500000000000000000e+00,6.539325111591139938e-01
6.000000000000000000e+00,7.075539780310124982e-01
6.500000000000000000e+00,7.294310243253910864e-01
6.599999999999999645e+00,7.438707454218441706e-01
6.700000000000000178e+00,7.655707151627267892e-01
6.799999999999999822e+00,7.742010092562375823e-01
6.900000000000000355e+00,7.778788575174663267e-01
7.000000000000000000e+00,7.811831790236822837e-01
7.099999999999999645e+00,7.828054587546451337e-01
7.200000000000000178e+00,8.257670785140306391e-01
7.299999999999999822e+00,7.936215499486930502e-01
7.400000000000000355e+00,8.181572184409784398e-01
7.599999999999999645e+00,8.411222390171044783e-01
7.799999999999999822e+00,8.343186427845352693e-01
8.000000000000000000e+00,8.562435299103433595e-01
8.199999999999999289e+00,8.613921603240232150e-01
8.400000000000000355e+00,8.641382237330124116e-01
8.599999999999999645e+00,8.926689380054485534e-01
8.800000000000000711e+00,9.119580565562971364e-01
9.000000000000000000e+00,9.502098284427160646e-01
9.199999999999999289e+00,9.163826070162164328e-01
9.199999999999999289e+00,9.163826070162164328e-01
9.300000000000000711e+00,9.519193440530181460e-01
9.400000000000000355e+00,9.455274918770359971e-01
9.500000000000000000e+00,9.617271129512274808e-01
9.599999999999999645e+00,9.590483470672853672e-01
9.699999999999999289e+00,9.577588008096120653e-01
9.800000000000000711e+00,9.655903625495240172e-01
9.900000000000000355e+00,9.730592669639149817e-01
1.000000000000000000e+01,9.796011942613386259e-01
1.009999999999999964e+01,9.787194239272986040e-01
1.030000000000000071e+01,9.760571713101692248e-01
1.050000000000000000e+01,9.883338866213585705e-01
1.069999999999999929e+01,9.934284162555950815e-01
1.090000000000000036e+01,9.895092175637352216e-01
1.109999999999999964e+01,1.018138145098133052e+00
1.130000000000000071e+01,1.015588937500120359e+00
1.150000000000000000e+01,1.024527676188498937e+00
1.169999999999999929e+01,1.017323828580730671e+00
1.190000000000000036e+01,9.932907267007735630e-01
1.209999999999999964e+01,9.782080562788511013e-01
1.230000000000000071e+01,9.724738311354441667e-01
1.250000000000000000e+01,9.723827425450149997e-01
1.269999999999999929e+01,9.540257233805355952e-01
1.290000000000000036e+01,9.312231423073007441e-01
1.330000000000000071e+01,9.280517592104022828e-01
1.350000000000000000e+01,8.997593972029614973e-01
1.350000000000000000e+01,8.997593972029614973e-01
1.369999999999999929e+01,8.908100895558619392e-01
1.369999999999999929e+01,8.908100895558619392e-01
1.390000000000000036e+01,8.719853155086231267e-01
1.409999999999999964e+01,8.655961973933145037e-01
1.430000000000000071e+01,9.743044957643900439e-01
1.409999999999999964e+01,8.655961973933145037e-01
1.390000000000000036e+01,8.719853155086231267e-01
1.369999999999999929e+01,8.908100895558619392e-01
1.350000000000000000e+01,8.997593972029614973e-01
1.330000000000000071e+01,9.280517592104022828e-01
1.309999999999999964e+01,9.188092161960574877e-01
1.290000000000000036e+01,9.312231423073007441e-01
1.269999999999999929e+01,9.540257233805355952e-01
1.250000000000000000e+01,9.723827425450149997e-01
1.230000000000000071e+01,9.724738311354441667e-01
1.209999999999999964e+01,9.782080562788511013e-01
1.190000000000000036e+01,9.932907267007735630e-01
1.169999999999999929e+01,1.017323828580730671e+00
1.150000000000000000e+01,1.024527676188498937e+00
1.130000000000000071e+01,1.015588937500120359e+00
1.109999999999999964e+01,1.018138145098133052e+00
1.090000000000000036e+01,9.895092175637352216e-01
1.069999999999999929e+01,9.934284162555950815e-01
1.050000000000000000e+01,9.883338866213585705e-01
