x_u,c_p_u,x_l,c_p_l
0.0,-0.2685524159829836,0.0,-0.2631576652348655
0.5700160000000001,-0.8884843032766645,0.689968,0.970096646515398
2.133296,-1.034071119823561,2.354352,0.7652747522176413
5.857728000000001,-1.18866109655937,6.279664,0.43712385406224374
11.667520000000001,-1.122173473100775,12.472096,0.25466695293218217
18.169664,-1.010205599957714,19.222880000000004,0.1656714290013062
24.946160000000003,-0.9443253325436092,26.116416,0.11211691660773616
31.861248000000003,-0.919781002980979,33.072208,0.07574700759062188
38.855088,-0.8577235059645472,40.060672000000004,0.04991651228671852
45.898032,-0.7974523502554394,47.064864,0.02944504090478679
52.968288,-0.7095286311089578,54.076352,0.012903520398967621
60.050048000000004,-0.7124939576791154,61.09880000000001,0.0008278531614581653
67.135856,-0.6750522438776068,68.12043200000001,-0.012641160295763922
74.220688,-0.6435411832164135,75.140448,-0.016392477041144084
81.30496000000001,-0.6461135146989598,82.16099200000001,-0.02282330574751007
88.39776,-0.6174963269556312,89.17859200000001,-0.02575290549152124
95.507568,-0.5686577556133963,96.1932,-0.026610349319036698
102.61896,-0.37648315777149277,103.208032,-0.021894408267701643
109.7264,-0.2778413907810678,110.22416000000001,-0.01703555991178068
116.83841600000001,-0.2561194804840094,117.248176,-0.00542434141417543
123.957712,-0.2074238164463603,124.28452800000001,0.007651676955435405
131.089824,-0.1329333839309543,131.32744,0.022692670763102517
138.21742400000002,-0.07141178930671972,138.367648,0.04069899114092728
145.29728,-0.01910771582827638,160.0,0.06367134035311244
